№,Название завтрака:,Ингредиенты на 1 порцию:,Приготовление:,Какое блюдо,Блюдо из
25,Гречневая каша с пряностями,"Гречневая крупа – 50 г
Вода – 200 мл
Куркума – 1/4 ч. ложки
Кориандр молотый – 1/4 ч. ложки
Зира (кумин) – 1/4 ч. ложки
Имбирь молотый – 1/4 ч. ложки (по желанию)
Соль – по вкусу (по желанию)
Свежая зелень (петрушка, кинза) – по вкусу (для украшения)","В небольшой кастрюле доведите воду до кипения.
Добавьте гречневую крупу в кипящую воду, уменьшите огонь до минимума и варите под крышкой около 15 минут, пока гречка не станет мягкой и жидкость не впитается.
Когда гречка будет готова, добавьте в кастрюлю куркуму, кориандр, зиру и молотый имбирь (если используете).
Хорошо перемешайте, чтобы пряности равномерно распределились по каше.
Если хотите, добавьте соль по вкусу.
Переложите кашу в тарелку.
Украсьте блюдо свежей зеленью перед подачей.",основное,Гречневая крупа
26,Гречневые блины,"Гречневая мука – 40 г
Молоко (коровье, миндальное или другое) – 100 мл
Яйцо – 1 (по желанию, для связки)
Разрыхлитель теста – 1/4 ч. ложки (по желанию)
Мед или кленовый сироп – 1 ч. ложка (по желанию, для сладости)
Соль – по вкусу (по желанию)
Оливковое масло – для смазывания сковороды (по желанию)","В глубокой миске объедините гречневую муку и, если используете, разрыхлитель теста и соль.
В другой миске взбейте яйцо (если используете) и добавьте молоко. Перемешайте.
Постепенно добавляйте жидкую смесь к сухим ингредиентам, тщательно перемешивая до получения однородного теста. Если тесто слишком густое, добавьте немного молока.
Разогрейте сковороду на среднем огне. Если используете оливковое масло, смажьте сковороду тонким слоем.
Вылейте небольшое количество теста на сковороду, распределите его круговыми движениями. Готовьте блины до появления пузырьков на поверхности и золотистой корочки, примерно 1-2 минуты с каждой стороны.
Переложите готовые блины на тарелку. Если хотите, подавайте с медом, кленовым сиропом или другими мягкими добавками, подходящими для вашего рациона.",основное,Гречневая крупа
27,Гречневые оладьи,"Гречневая крупа – 40 г
Вода или молоко (коровье, миндальное или другое) – 100 мл
Яйцо – 1 (по желанию, для связки)
Разрыхлитель теста – 1/2 ч. ложки (по желанию)
Мед или кленовый сироп – 1 ч. ложка (по желанию, для сладости)
Соль – по вкусу (по желанию)
Оливковое масло – для смазывания сковороды (по желанию)","В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте гречневую крупу в кипящую жидкость и варите 10-15 минут, пока гречка не станет мягкой и жидкость не впитается. Дайте немного остыть.
В глубокой миске объедините вареную гречневую крупу, яйцо (если используете) и тщательно перемешайте. Если не используете яйцо, просто перемешайте гречневую массу.
Добавьте разрыхлитель теста, если используете, и при необходимости добавьте соль и мед или кленовый сироп для сладости.
Разогрейте сковороду на среднем огне. Если используете оливковое масло, смажьте сковороду тонким слоем.
Вылейте ложкой тесто на сковороду, формируя небольшие оладьи. Обжаривайте их с обеих сторон по 2-3 минуты, до золотистой корочки.
Переложите оладьи на тарелку и дайте немного остыть перед подачей.",основное,Гречневая крупа
28,Гречневый пудинг,"Гречневая крупа – 40 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Мед или кленовый сироп – 1 ч. ложка (или по вкусу)
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Ягоды или нарезанные фрукты – 30-50 г (по желанию)","В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте гречневую крупу в кипящую жидкость и варите на медленном огне 15-20 минут, пока гречка не станет мягкой и жидкость не впитается. Если жидкость полностью впиталась, но гречка еще твердая, добавьте немного воды или молока и продолжайте варить до готовности.
Снимите кастрюлю с огня.
Добавьте мед или кленовый сироп и ванильный экстракт (если используете). Хорошо перемешайте.
Переложите гречневую массу в миску или контейнер и дайте немного остыть. Пудинг загустеет по мере остывания.
Если используете ягоды или нарезанные фрукты, добавьте их в остывший пудинг перед подачей или перемешайте их в пудинг сразу после того, как он немного остынет.
Переложите пудинг в тарелку или контейнер и дайте ему полностью остыть перед подачей.",основное,Гречневая крупа
29,Гречневая запеканка,"Гречневая крупа – 40 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Яйцо – 1 (по желанию, для связки)
Мед или кленовый сироп – 1 ч. ложка (по желанию, для сладости)
Ягоды или нарезанные фрукты – 50 г (по желанию)
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Разрыхлитель теста – 1/2 ч. ложки (по желанию)
Соль – по вкусу (по желанию)","В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте гречневую крупу в кипящую жидкость. Уменьшите огонь до минимума и варите 15-20 минут, пока гречка не станет мягкой и жидкость не впитается. Дайте немного остыть.
Разогрейте духовку до 180°C.
В глубокой миске объедините приготовленную гречневую крупу, яйцо (если используете), мед или кленовый сироп, ванильный экстракт (если используете) и, если используете, разрыхлитель теста и соль.
Хорошо перемешайте до получения однородной массы.
Добавьте ягоды или нарезанные фрукты в смесь, если используете.
Переложите смесь в небольшую форму для запеканки, смазанную маслом или выложенную пергаментной бумагой.
Выпекайте в разогретой духовке около 25-30 минут, пока запеканка не станет золотистой и не будет полностью пропеченной. Проверяйте готовность с помощью зубочистки — она должна выйти чистой.
Дайте запеканке немного остыть перед нарезкой и подачей.",основное,Гречневая крупа
30,Булгурная каша с медом и орехами,"Булгур – 40 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Орехи (грецкие, миндаль, кешью и т.д.) – 20 г (измельченные)
Соль – по вкусу (по желанию)","В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте булгур в кипящую жидкость, уменьшите огонь до минимума и варите под крышкой около 10-12 минут, пока булгур не станет мягким и жидкость не впитается. Если жидкость впиталась, но булгур еще твердый, добавьте немного воды или молока и продолжайте варить до готовности.
Снимите кастрюлю с огня. Если хотите, добавьте немного соли по вкусу.
Вмешайте мед в горячую кашу до полного растворения.
Измельчите орехи и добавьте их в готовую кашу. Вы можете перемешать орехи с кашей или посыпать их сверху.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Булгур
31,Булгурная каша с медом и фруктами,"Булгур – 40 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Фрукты (например, яблоко, груша, банан) – 50 г (нарезанные кубиками)
Соль – по вкусу (по желанию)","В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте булгур в кипящую жидкость, уменьшите огонь до минимума и варите под крышкой около 10-12 минут, пока булгур не станет мягким и жидкость не впитается. Если жидкость впиталась, но булгур еще твердый, добавьте немного воды или молока и продолжайте варить до готовности.
Снимите кастрюлю с огня. Если хотите, добавьте немного соли по вкусу.
Вмешайте мед в горячую кашу до полного растворения.
Нарежьте фрукты небольшими кубиками.
Добавьте нарезанные фрукты в горячую кашу и аккуратно перемешайте.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Булгур
32,Булгурная каша с медом и ягодами,"Булгур – 40 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Ягоды (например, малина, черника, клубника) – 50 г
Соль – по вкусу (по желанию)","В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте булгур в кипящую жидкость, уменьшите огонь до минимума и варите под крышкой около 10-12 минут, пока булгур не станет мягким и жидкость не впитается. Если жидкость впиталась, но булгур еще твердый, добавьте немного воды или молока и продолжайте варить до готовности.
Снимите кастрюлю с огня. Если хотите, добавьте немного соли по вкусу.
Вмешайте мед в горячую кашу до полного растворения.
Выложите свежие ягоды в горячую кашу и аккуратно перемешайте, чтобы сохранить их целостность.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Булгур
33,Булгурная каша с добавлением семян,"Булгур – 40 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Семена льна, тыквы, подсолнечника или чиа – 1 ст. ложка (можно смешать несколько видов)
Мед – 1 ч. ложка (или по вкусу)
Соль – по вкусу (по желанию)","В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте булгур в кипящую жидкость, уменьшите огонь до минимума и варите под крышкой около 10-12 минут, пока булгур не станет мягким и жидкость не впитается. Если жидкость впиталась, но булгур еще твердый, добавьте немного воды или молока и продолжайте варить до готовности.
Снимите кастрюлю с огня. Если хотите, добавьте немного соли по вкусу.
Вмешайте мед в горячую кашу до полного растворения.
Добавьте семена льна, тыквы, подсолнечника или чиа в кашу и тщательно перемешайте.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Булгур
34,Булгурная каша с овощами,"Булгур – 40 г
Вода – 200 мл
Морковь – 30 г (1/4 средней моркови)
Болгарский перец – 30 г (1/4 небольшого перца)
Цукини или кабачок – 30 г (небольшой кусочек)
Лук – 20 г (1/4 небольшой луковицы)
Соль – по вкусу (по желанию)
Зелень (петрушка, укроп) – по вкусу (по желанию)","Нарежьте морковь, болгарский перец, цукини и лук небольшими кубиками.
В небольшой кастрюле доведите воду до кипения.
Добавьте булгур в кипящую воду, уменьшите огонь до минимума и варите под крышкой около 10-12 минут, пока булгур не станет мягким и жидкость не впитается.
В сковороде на среднем огне слегка припустите лук до прозрачности (если готовите без масла, добавьте немного воды).
Добавьте нарезанную морковь и тушите 3-4 минуты.
Затем добавьте болгарский перец и цукини, тушите еще 5-7 минут, пока овощи не станут мягкими, но сохранят форму.
Когда булгур будет готов, добавьте его в сковороду с овощами и тщательно перемешайте. Добавьте соль по вкусу, если используете.
Прогрейте все вместе еще 2-3 минуты, чтобы булгур впитал ароматы овощей.
Переложите кашу с овощами в тарелку, при желании украсьте свежей зеленью.",основное,Булгур
35,Булгурная каша с пряностями,"Булгур – 40 г
Вода – 200 мл
Куркума – 1/4 ч. ложки
Кориандр молотый – 1/4 ч. ложки
Зира (кумин) – 1/4 ч. ложки
Имбирь молотый – 1/4 ч. ложки (по желанию)
Соль – по вкусу (по желанию)
Свежая зелень (петрушка, кинза) – по вкусу (для украшения)","В небольшой кастрюле доведите воду до кипения.
Добавьте булгур в кипящую воду, уменьшите огонь до минимума и варите под крышкой около 10-12 минут, пока булгур не станет мягким и жидкость не впитается.
Когда булгур будет готов, добавьте в кастрюлю куркуму, кориандр, зиру и молотый имбирь (если используете).
Хорошо перемешайте, чтобы пряности равномерно распределились по каше.
Если хотите, добавьте соль по вкусу.
Переложите кашу в тарелку.
Украсьте блюдо свежей зеленью перед подачей.",основное,Булгур
36,Булгурные блины,"Мука из булгура – 50 г
Яйцо – 1 шт.
Молоко (коровье, миндальное или другое) – 70 мл
Вода – 30 мл (для регулировки консистенции)
Разрыхлитель – 1/4 ч. ложки
Мед – 1 ч. ложка (по желанию)
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","В миске взбейте яйцо с молоком и медом (если используете).
Постепенно добавьте муку из булгура, разрыхлитель и соль, тщательно перемешивая до получения однородного теста.
Если тесто получилось слишком густым, добавьте немного воды, чтобы достичь нужной консистенции (тесто должно быть жидким, как для обычных блинов).
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Вылейте небольшое количество теста на сковороду и равномерно распределите его, вращая сковороду, чтобы сформировать тонкий блин.
Жарьте блин 1-2 минуты с одной стороны, затем переверните и жарьте ещё 1 минуту с другой стороны, пока он не станет золотистым.
Подавайте блины тёплыми. Их можно подавать с медом, нежирным йогуртом или свежими ягодами.",основное,Булгур
37,Булгурные оладьи,"Мука из булгура – 50 г
Яйцо – 1 шт.
Молоко (коровье, миндальное или другое) – 50 мл
Вода – 30 мл (для регулировки консистенции)
Разрыхлитель – 1/4 ч. ложки
Мед – 1 ч. ложка (по желанию)
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","В миске взбейте яйцо с молоком и медом (если используете).
Постепенно добавьте муку из булгура, разрыхлитель и соль, тщательно перемешивая до получения однородного теста.
Если тесто получилось слишком густым, добавьте немного воды, чтобы достичь нужной консистенции (тесто должно быть немного гуще, чем для блинов).
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Выложите столовой ложкой небольшие порции теста на сковороду, формируя оладьи.
Жарьте оладьи по 2-3 минуты с каждой стороны, пока они не станут золотистыми и пышными.
Подавайте оладьи тёплыми. Их можно украсить свежими ягодами, медом или нежирным йогуртом.",основное,Булгур
38,Булгурный пудинг,"Булгур – 40 г
Молоко (коровье, миндальное или другое) – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Ванильный экстракт – 1/2 ч. ложки (по желанию)
Семена чиа – 1 ч. ложка (по желанию, для дополнительной текстуры и питательных веществ)
Соль – по вкусу (по желанию)","В небольшой кастрюле доведите молоко до кипения.
Добавьте булгур в кипящее молоко, уменьшите огонь до минимума и варите под крышкой около 15 минут, пока булгур не станет мягким и жидкость не впитается.
Снимите кастрюлю с огня. Если используете, добавьте мед и ванильный экстракт, хорошо перемешайте до полного растворения меда.
Если добавляете семена чиа, перемешайте их в каше и оставьте на 5-10 минут, чтобы семена набухли и пудинг стал густым.
Переложите пудинг в порционные чашки или тарелки.
Дайте пудингу немного остыть и загустеть перед подачей. Можно охладить в холодильнике для достижения лучшего вкуса и текстуры.
Примечание: Пудинг можно украсить свежими ягодами или нарезанными фруктами перед подачей, если они хорошо переносятся и не вызывают дискомфорта.",основное,Булгур
39,Булгурная запеканка,"Булгур – 50 г
Вода – 200 мл
Яйцо – 1 шт.
Молоко (коровье, миндальное или другое) – 100 мл
Сыр нежирный (например, творожный или рикотта) – 50 г
Лук – 20 г (1/4 небольшой луковицы)
Морковь – 30 г (1/4 средней моркови)
Свежая зелень (петрушка, укроп) – по вкусу
Соль – по вкусу (по желанию)
Перец черный молотый – по вкусу (по желанию)
Растительное масло – 1 ч. ложка (для смазывания формы, можно использовать антипригарную форму)","В небольшой кастрюле доведите воду до кипения.
Добавьте булгур в кипящую воду, уменьшите огонь до минимума и варите под крышкой около 10-12 минут, пока булгур не станет мягким и жидкость не впитается. Дайте булгуру немного остыть.
Мелко нарежьте лук и натрите морковь на терке.
В сковороде на среднем огне припустите лук до прозрачности. Затем добавьте морковь и готовьте еще 5 минут, пока морковь не станет мягкой.
В глубокой миске смешайте остывший булгур, припущенные овощи, яйцо, молоко и сыр. Хорошо перемешайте.
Добавьте соль, перец и свежую зелень по вкусу.
Разогрейте духовку до 180°C.
Смазать форму для запеканки растительным маслом (если не используете антипригарную форму).
Переложите смесь в форму и разровняйте поверхность.
Выпекайте запеканку в разогретой духовке 25-30 минут, пока она не станет золотистой и полностью пропеченной.
Дайте запеканке немного остыть перед нарезкой.
Подавайте теплой или комнатной температуры.",основное,Булгур
40,Коричневый рис с медом и орехами,"Коричневый рис – 50 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Мед – 1 ч. ложка
Орехи (миндаль, грецкие орехи, фундук) – 10-15 г
Соль – по вкусу (по желанию)","Промойте коричневый рис под холодной водой.
В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте рис в кипящую жидкость, уменьшите огонь до минимума, накройте крышкой и варите 30-35 минут, пока рис не станет мягким и вся жидкость не впитается. Если используете молоко, перемешивайте рис время от времени, чтобы избежать пригорания.
Пока рис готовится, измельчите орехи на небольшие кусочки. Можно слегка обжарить их на сухой сковороде для усиления вкуса, но это необязательно.
Когда рис будет готов, снимите кастрюлю с огня.
Добавьте мед в горячий рис и хорошо перемешайте до полного растворения меда.
Добавьте измельченные орехи и снова перемешайте, чтобы они равномерно распределились по рису.
Переложите рис в тарелку и подавайте теплым.",основное,Коричневый рис
41,Коричневый рис с медом и фруктами,"Коричневый рис – 50 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Мед – 1 ч. ложка
Фрукты (яблоко, груша, банан) – 50 г (около половины одного фрукта)
Соль – по вкусу (по желанию)","Промойте коричневый рис под холодной водой.
В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте рис в кипящую жидкость, уменьшите огонь до минимума, накройте крышкой и варите 30-35 минут, пока рис не станет мягким и вся жидкость не впитается. Если используете молоко, перемешивайте рис время от времени, чтобы избежать пригорания.
Вымойте и нарежьте фрукты небольшими кубиками. Если используете банан, его можно просто нарезать кружочками.
Когда рис будет готов, снимите кастрюлю с огня.
Добавьте мед в горячий рис и хорошо перемешайте до полного растворения меда.
Добавьте нарезанные фрукты и осторожно перемешайте, чтобы они равномерно распределились по рису.
Переложите рис с фруктами в тарелку и подавайте теплым.",основное,Коричневый рис
42,Коричневый рис с медом и ягодами,"Коричневый рис – 50 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Мед – 1 ч. ложка
Ягоды (черника, малина, клубника) – 50 г
Соль – по вкусу (по желанию)","
Промойте коричневый рис под холодной водой.
В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте рис в кипящую жидкость, уменьшите огонь до минимума, накройте крышкой и варите 30-35 минут, пока рис не станет мягким и вся жидкость не впитается. Если используете молоко, перемешивайте рис время от времени, чтобы избежать пригорания.
Вымойте ягоды и, если необходимо, нарежьте крупные ягоды (например, клубнику) на более мелкие кусочки.
Когда рис будет готов, снимите кастрюлю с огня.
Добавьте мед в горячий рис и хорошо перемешайте до полного растворения меда.
Добавьте ягоды и аккуратно перемешайте, чтобы они равномерно распределились по рису.
Переложите рис с ягодами в тарелку и подавайте теплым.",основное,Коричневый рис
43,Коричневый рис с добавлением семян,"Коричневый рис – 50 г
Вода – 200 мл
Семена льна, тыквы или чиа – 1 ст. ложка (можно использовать смесь семян)
Соль – по вкусу (по желанию)
","Промойте коричневый рис под холодной водой.
В небольшой кастрюле доведите воду до кипения.
Добавьте рис в кипящую воду, уменьшите огонь до минимума, накройте крышкой и варите 30-35 минут, пока рис не станет мягким и вся вода не впитается.
Если используете семена льна или чиа, их можно добавить в рис сразу после его приготовления.
Если используете тыквенные семечки, их можно слегка обжарить на сухой сковороде на среднем огне в течение 2-3 минут, чтобы усилить вкус.
Когда рис будет готов, снимите кастрюлю с огня.
Добавьте семена к готовому рису и хорошо перемешайте.
При необходимости добавьте соль по вкусу.
Переложите рис с семенами в тарелку и подавайте теплым.",основное,Коричневый рис
44,Коричневый рис с овощами,"Коричневый рис – 50 г
Вода – 200 мл
Морковь – 30 г (половина небольшой моркови)
Болгарский перец – 30 г (четверть перца)
Кабачок – 30 г
Брокколи – 30 г (2-3 небольших соцветия)
Соль – по вкусу
Петрушка или укроп (свежие, нарезанные) – 1 ст. ложка","Промойте коричневый рис под холодной водой.
В небольшой кастрюле доведите воду до кипения.
Добавьте рис в кипящую воду, уменьшите огонь до минимума, накройте крышкой и варите 30-35 минут, пока рис не станет мягким и вся вода не впитается.
Пока рис готовится, вымойте и нарежьте морковь, болгарский перец, кабачок и брокколи небольшими кусочками.
На среднем огне слегка припустите овощи в отдельной сковороде с небольшим количеством воды (50 мл) в течение 5-7 минут, пока они не станут мягкими.
Когда рис будет готов, добавьте его к припущенным овощам и перемешайте.
Добавьте соль по вкусу и продолжайте готовить на среднем огне еще 2-3 минуты, чтобы все ингредиенты хорошо прогрелись и соединились.
Переложите готовый рис с овощами в тарелку.
Посыпьте свежей нарезанной петрушкой или укропом и подавайте теплым.",основное,Коричневый рис
45,Коричневый рис с пряностями,"Коричневый рис – 50 г
Вода – 200 мл
Корица – 1/4 ч. ложки
Куркума – 1/4 ч. ложки
Имбирь (свежий, тертый) – 1/2 ч. ложки или щепотка сушеного
Кардамон (молотый) – 1 щепотка
Соль – по вкусу (по желанию)","Промойте коричневый рис под холодной водой.
В небольшой кастрюле доведите воду до кипения.
Добавьте рис в кипящую воду, уменьшите огонь до минимума, накройте крышкой и варите 30-35 минут, пока рис не станет мягким и вся вода не впитается.
В процессе варки риса, примерно за 10 минут до окончания приготовления, добавьте в кастрюлю корицу, куркуму, тертый имбирь и кардамон.
Тщательно перемешайте, чтобы пряности равномерно распределились по рису.
Когда рис полностью приготовится и вся вода впитается, снимите кастрюлю с огня.
При необходимости добавьте соль по вкусу и аккуратно перемешайте.
Переложите пряный коричневый рис в тарелку и подавайте теплым.",основное,Коричневый рис
46,Блины из коричневого риса,"Мука из коричневого риса – 50 г
Яйцо – 1 шт.
Молоко (коровье, миндальное или другое) – 100 мл
Вода – 50 мл (если нужно для регулировки консистенции)
Мед – 1 ч. ложка (по желанию)
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","В миске взбейте яйцо с молоком и медом.
Постепенно добавьте муку из коричневого риса, продолжая взбивать до однородного состояния.
Добавьте соль по вкусу.
Если тесто получилось слишком густым, добавьте немного воды, чтобы достичь нужной консистенции (тесто должно быть как жидкая сметана).
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Вылейте небольшое количество теста на сковороду и распределите его тонким слоем, поворачивая сковороду.
Жарьте блины по 1-2 минуты с каждой стороны, пока они не станут золотистыми.
Подавайте блины теплыми, можно с медом, ягодами или нежирным йогуртом.",основное,Коричневый рис
47,Оладьи из коричневого риса,"Мука из коричневого риса – 50 г
Яйцо – 1 шт.
Молоко (коровье, миндальное или другое) – 50 мл
Вода – 30 мл (для регулировки консистенции)
Разрыхлитель – 1/4 ч. ложки
Мед – 1 ч. ложка (по желанию)
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","В миске взбейте яйцо с молоком и медом (если используете).
Постепенно добавьте муку из коричневого риса, разрыхлитель и соль, тщательно перемешивая до получения однородного теста.
Если тесто получилось слишком густым, добавьте немного воды, чтобы достичь нужной консистенции (тесто должно быть немного гуще, чем для блинов).
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Выложите столовой ложкой небольшие порции теста на сковороду, формируя оладьи.
Жарьте оладьи по 2-3 минуты с каждой стороны, пока они не станут золотистыми и пышными.
Подавайте оладьи теплыми. Их можно украсить свежими ягодами, медом или нежирным йогуртом.",основное,Коричневый рис
