№,Название завтрака:,Ингредиенты на 1 порцию:,Приготовление:,Какое блюдо,Блюдо из
48,Пудинг из коричневого риса,"Коричневый рис (варёный) – 50 г
Молоко (коровье, миндальное или другое) – 100 мл
Вода – 50 мл (если нужно для регулировки консистенции)
Мед – 1 ч. ложка (или по вкусу)
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Ягоды или фрукты – для украшения","Если рис не приготовлен заранее, сварите его до готовности. Промойте 50 г коричневого риса и варите его в 200 мл воды на слабом огне, пока вода полностью не впитается (около 30-35 минут). Дайте рису немного остыть.
В кастрюле смешайте варёный коричневый рис, молоко и воду (если нужно для регулировки густоты).
Добавьте мед и ванильный экстракт (если используете).
Готовьте на среднем огне, помешивая, до загустения смеси (примерно 10-15 минут). Если пудинг слишком густой, можно добавить немного воды или молока для достижения нужной консистенции.
Перелейте пудинг в сервировочную посуду и дайте ему немного остыть.
Украсьте ягодами или нарезанными фруктами по вкусу.",основное,Коричневый рис
49,Запеканка из коричневого риса,"Коричневый рис (варёный) – 100 г
Молоко (коровье, миндальное или другое) – 100 мл
Яйцо – 1 шт.
Мед – 1 ч. ложка (по желанию)
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Соль – щепотка (по желанию)
Сухофрукты (например, изюм или курага) – 1 ст. ложка (по желанию)
Ягоды или нарезанные фрукты – для украшения","Если коричневый рис не варен заранее, сварите его до готовности. Промойте 100 г коричневого риса и варите в 400 мл воды до полной готовности и впитывания воды (около 30-35 минут). Оставьте рис остывать.
Разогрейте духовку до 180°C.
В миске взбейте яйцо с молоком, медом и ванильным экстрактом (если используете). Добавьте щепотку соли, если хотите.
Вмешайте в смесь варёный коричневый рис и, если используете, добавьте сухофрукты.
Перелейте смесь в небольшую форму для запеканки, предварительно смазанную растительным маслом или выстланную бумагой для выпечки.
Разровняйте поверхность и поместите в разогретую духовку.
Выпекайте 25-30 минут, пока запеканка не станет золотистой и не схватится.
Дайте запеканке немного остыть перед нарезанием.
Подавайте тёплой, украшенной ягодами или нарезанными фруктами по желанию.",основное,Коричневый рис
50,Омлет с брокколи и шпинатом,"Яйцо – 2 шт.
Молоко (коровье, миндальное или другое) – 30 мл
Брокколи – 50 г
Шпинат – 20 г
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Брокколи разберите на мелкие соцветия.
Опустите соцветия в кипящую воду и варите 2-3 минуты, затем слейте воду.
Шпинат промойте, обсушите и, если листья крупные, нарежьте их.
В миске взбейте яйца с молоком и добавьте щепотку соли (по желанию).
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Выложите подготовленные брокколи и шпинат на сковороду.
Залейте овощи яичной смесью.
Готовьте омлет на слабом огне под крышкой 5-7 минут, пока яйца не схватятся и омлет не станет плотным.
Омлет подавайте горячим. Его можно дополнить легким салатом из свежих овощей.",основное,Яйца
51,Омлет с кабачками и помидорами,"Яйцо – 2 шт.
Молоко (коровье, миндальное или другое) – 30 мл
Кабачок – 50 г
Помидор – 1/2 шт.
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Кабачок нарежьте тонкими кружочками или полукружочками.
Помидор нарежьте мелкими кубиками.
В миске взбейте яйца с молоком и добавьте щепотку соли (по желанию).
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Выложите на сковороду нарезанные кабачки и обжарьте их 2-3 минуты, пока они не станут мягкими.
Добавьте к кабачкам нарезанные помидоры и готовьте ещё 1-2 минуты, пока помидоры не станут мягкими.
Залейте овощи яичной смесью.
Готовьте омлет на слабом огне под крышкой 5-7 минут, пока яйца не схватятся и омлет не станет плотным.
Подавайте омлет горячим. Он отлично сочетается с легким салатом или зеленью.",основное,Яйца
52,Омлет с овощами,"Яйцо – 2 шт.
Молоко (коровье, миндальное или другое) – 30 мл
Болгарский перец – 1/4 шт.
Томаты – 1/2 шт.
Шпинат – 1 горсть (примерно 20 г)
Зелень (петрушка, укроп) – по вкусу
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Болгарский перец нарежьте мелкими кубиками.
Томаты нарежьте небольшими кусочками.
Шпинат и зелень мелко порубите.
В миске взбейте яйца с молоком до однородной массы. Добавьте соль по вкусу.
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Добавьте на сковороду нарезанные овощи (болгарский перец, томаты, шпинат) и обжаривайте их около 2-3 минут, пока они не станут мягкими.
Вылейте яичную смесь на сковороду, распределяя её равномерно по поверхности овощей.
Готовьте омлет на слабом огне, накрыв крышкой, около 5-7 минут, пока он не схватится.
Аккуратно переложите омлет на тарелку и посыпьте свежей зеленью перед подачей.",основное,Яйца
53,Омлет с брокколи и шпинатом,"Яйцо – 2 шт.
Молоко (коровье, миндальное или другое) – 30 мл
Брокколи – 50 г
Шпинат – 20 г
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Брокколи разберите на мелкие соцветия.
Опустите соцветия в кипящую воду и варите 2-3 минуты, затем слейте воду.
Шпинат промойте, обсушите и, если листья крупные, нарежьте их.
В миске взбейте яйца с молоком и добавьте щепотку соли (по желанию).
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Выложите подготовленные брокколи и шпинат на сковороду.
Залейте овощи яичной смесью.
Готовьте омлет на слабом огне под крышкой 5-7 минут, пока яйца не схватятся и омлет не станет плотным.
Омлет подавайте горячим. Его можно дополнить легким салатом из свежих овощей.",основное,Яйца
54,Омлет с кабачками и помидорами,"Яйцо – 2 шт.
Молоко (коровье, миндальное или другое) – 30 мл
Кабачок – 50 г
Помидор – 1/2 шт.
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Кабачок нарежьте тонкими кружочками или полукружочками.
Помидор нарежьте мелкими кубиками.
В миске взбейте яйца с молоком и добавьте щепотку соли (по желанию).
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Выложите на сковороду нарезанные кабачки и обжарьте их 2-3 минуты, пока они не станут мягкими.
Добавьте к кабачкам нарезанные помидоры и готовьте ещё 1-2 минуты, пока помидоры не станут мягкими.
Залейте овощи яичной смесью.
Готовьте омлет на слабом огне под крышкой 5-7 минут, пока яйца не схватятся и омлет не станет плотным.
Подавайте омлет горячим. Он отлично сочетается с легким салатом или зеленью.",основное,Яйца
55,Омлет с болгарским перцем и зеленью,"Яйцо – 2 шт.
Молоко (коровье, миндальное или другое) – 30 мл
Болгарский перец – 1/2 шт.
Зелень (петрушка, укроп, шпинат) – 10 г
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Болгарский перец нарежьте тонкими полосками или кубиками.
Зелень мелко нарежьте.
В миске взбейте яйца с молоком и добавьте щепотку соли (по желанию).
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Выложите на сковороду нарезанный болгарский перец и обжарьте его 2-3 минуты, пока он не станет мягким.
Добавьте к перцу нарезанную зелень и слегка перемешайте.
Залейте овощи и зелень яичной смесью.
Готовьте омлет на слабом огне под крышкой 5-7 минут, пока яйца не схватятся и омлет не станет плотным.
Подавайте омлет горячим. Он хорошо сочетается с ломтиком цельнозернового хлеба или легким овощным салатом.",основное,Яйца
56,Омлет с цветной капустой и луком,"Яйцо – 2 шт.
Молоко (коровье, миндальное или другое) – 30 мл
Цветная капуста – 50 г
Лук репчатый – 1/4 шт.
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Цветную капусту разберите на мелкие соцветия.
Лук нарежьте мелкими кубиками.
Соцветия цветной капусты опустите в кипящую воду и варите 2-3 минуты. Затем слейте воду и дайте капусте обсохнуть.
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Обжарьте лук до мягкости и лёгкого золотистого цвета.
Добавьте цветную капусту к луку и обжаривайте вместе 2-3 минуты.
В миске взбейте яйца с молоком и добавьте щепотку соли (по желанию).
Залейте овощи яичной смесью.
Готовьте омлет на слабом огне под крышкой 5-7 минут, пока яйца не схватятся и омлет не станет плотным.
Подавайте омлет горячим. Он отлично сочетается с легким овощным салатом или ломтиком цельнозернового хлеба.",основное,Яйца
57,Омлет с морковью и зелёным горошком,"Яйцо – 2 шт.
Молоко (коровье, миндальное или другое) – 30 мл
Морковь – 1/2 шт. (около 50 г)
Зелёный горошек (свежий или замороженный) – 30 г
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Морковь натрите на крупной тёрке или нарежьте тонкими полосками.
Если используете замороженный горошек, его можно разморозить перед использованием.
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Обжарьте натертую морковь 3-4 минуты до мягкости.
Добавьте к моркови зелёный горошек и готовьте ещё 2 минуты, пока горошек не станет мягким.
В миске взбейте яйца с молоком и добавьте щепотку соли (по желанию).
Залейте овощи яичной смесью.
Готовьте омлет на слабом огне под крышкой 5-7 минут, пока яйца не схватятся и омлет не станет плотным.
Подавайте омлет горячим. Он будет хорошо сочетаться с зелёным салатом или ломтиком цельнозернового хлеба.",основное,Яйца
58,Яйцо всмятку,"Яйцо – 1 шт.
Вода – для варки
Соль – по желанию","Возьмите яйцо и аккуратно помойте его под проточной водой.
Наполните небольшую кастрюлю водой и доведите её до кипения.
Аккуратно опустите яйцо в кипящую воду с помощью ложки, чтобы не повредить скорлупу.
Варите яйцо в течение 4-5 минут, чтобы желток остался мягким, а белок схватился.
После варки сразу опустите яйцо в холодную воду на 1 минуту, чтобы остановить процесс приготовления и облегчить очистку.
Очистите яйцо от скорлупы и подавайте сразу же. По желанию можно добавить немного соли.",основное,Яйца
59,"Яйцо ""в мешочек""","Яйцо – 1 шт.
Вода – для варки
Соль – по желанию","Возьмите яйцо и аккуратно промойте его под проточной водой.
Налейте в кастрюлю воду и доведите её до кипения.
Уменьшите огонь, чтобы вода слегка кипела.
Аккуратно опустите яйцо в воду с помощью ложки.
Варите яйцо в течение 5-6 минут. Белок должен полностью свернуться, а желток остаться жидким, но более плотным, чем в яйце всмятку.
После варки сразу же переложите яйцо в холодную воду на 1 минуту, чтобы остановить процесс приготовления и облегчить очистку.
Аккуратно очистите яйцо от скорлупы, стараясь не повредить белок.
Подавайте сразу, по желанию добавив немного соли.",основное,Яйца
60,Паровые яйца,"Яйцо – 2 шт.
Молоко (коровье, миндальное или другое) – 50 мл
Соль – щепотка (по желанию)
Растительное масло – для смазывания формы","В миске взбейте яйца с молоком до однородности. Добавьте щепотку соли по вкусу, если нужно.
Если у вас есть пароварка, подготовьте её, налив воду в резервуар.
Если пароварки нет, можно использовать кастрюлю с водой и сито/решетку, поверх которой разместите форму для яиц.
Легко смажьте форму для приготовления яиц растительным маслом, чтобы яйца не прилипли.
Вылейте яичную смесь в подготовленную форму.
Поставьте форму в пароварку или над кипящей водой в кастрюле.
Готовьте на пару в течение 10-12 минут, пока яйца полностью не схватятся и не станут плотными.
Осторожно достаньте форму с яйцами из пароварки.
Подавайте паровые яйца горячими. По желанию можно украсить зеленью.",основное,Яйца
61,Яичница с помидорами,"Яйца – 2 шт.
Помидор – 1 шт.
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Помидор вымойте и нарежьте тонкими кружочками или дольками.
Разогрейте сковороду на среднем огне и смажьте её небольшим количеством растительного масла.
Выложите нарезанные помидоры на сковороду и обжаривайте их 1-2 минуты, пока они не станут мягкими.
Разбейте яйца прямо на сковороду поверх помидоров.
Готовьте яичницу на среднем огне до тех пор, пока белок полностью не схватится, а желток останется слегка жидким или прожарится полностью, в зависимости от ваших предпочтений.
Снимите сковороду с огня и осторожно переложите яичницу на тарелку.
Посолите по вкусу и подавайте сразу.",основное,Яйца
62,Яичница с зелёным горошком,"Яйца – 2 шт.
Зелёный горошек (свежий или замороженный) – 50 г
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Если используете замороженный зелёный горошек, разморозьте его, обдав кипятком.
Свежий горошек просто промойте.
Разогрейте сковороду на среднем огне и смажьте её растительным маслом.
Выложите зелёный горошек на сковороду и обжаривайте его 2-3 минуты, периодически помешивая, чтобы горошек стал мягким и слегка подрумянился.
Разбейте яйца прямо на сковороду поверх горошка.
Готовьте яичницу на среднем огне до тех пор, пока белок полностью не схватится, а желток останется слегка жидким или прожарится полностью, в зависимости от ваших предпочтений.
Посолите яичницу по вкусу и сразу подавайте.",основное,Яйца
63,Яичница с кабачками,"Яйца – 2 шт.
Кабачок – 100 г (примерно половина маленького кабачка)
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Кабачок вымойте и нарежьте тонкими кружочками или полукружочками, если кабачок крупный.
Разогрейте сковороду на среднем огне и смажьте её растительным маслом.
Выложите нарезанные кабачки на сковороду и обжаривайте 3-4 минуты, пока они не станут мягкими и слегка подрумянятся. Переворачивайте кусочки, чтобы они обжарились равномерно.
Разбейте яйца прямо на сковороду поверх кабачков.
Готовьте яичницу на среднем огне до тех пор, пока белок полностью не схватится, а желток останется слегка жидким или прожарится полностью, в зависимости от ваших предпочтений.
Посолите яичницу по вкусу и сразу подавайте.",основное,Яйца
64,Яичница с болгарским перцем,"Яйца – 2 шт.
Болгарский перец – 1/2 шт. (примерно 60-70 г)
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Болгарский перец вымойте, удалите семена и нарежьте тонкими полосками или небольшими кубиками.
Разогрейте сковороду на среднем огне и смажьте её растительным маслом.
Выложите нарезанный болгарский перец на сковороду и обжаривайте 3-4 минуты, пока он не станет мягким и слегка подрумянится.
Разбейте яйца прямо на сковороду поверх болгарского перца.
Готовьте яичницу на среднем огне до тех пор, пока белок полностью не схватится, а желток останется слегка жидким или прожарится полностью, в зависимости от ваших предпочтений.
Посолите яичницу по вкусу и сразу подавайте.",основное,Яйца
65,Яичница с зеленью,"Яйца – 2 шт.
Свежая зелень (укроп, петрушка, шпинат или базилик) – 2-3 ст. ложки, нарезанные
Соль – щепотка (по желанию)
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","Промойте зелень и мелко нарежьте её.
Разогрейте сковороду на среднем огне и смажьте её растительным маслом.
Вылейте яйца на сковороду и сразу добавьте нарезанную зелень.
Готовьте яичницу на среднем огне, аккуратно помешивая, чтобы зелень равномерно распределилась по всей яичнице.
Готовьте до тех пор, пока белок полностью не схватится, а желток останется слегка жидким или прожарится полностью, в зависимости от ваших предпочтений.
Посолите яичницу по вкусу и сразу подавайте.",основное,Яйца
66,Творожная запеканка,"Творог – 200 г
Яйцо – 1 шт.
Мед – 1 ч. ложка (по желанию)
Разрыхлитель теста – 1/4 ч. ложки
Ванильный экстракт – 1/2 ч. ложки (по желанию)
Мука (по желанию) – 1 ст. ложка (можно использовать овсяную или гречневую)","Разогрейте духовку до 180°C.
Приготовьте форму для запеканки, смазав её небольшим количеством масла или выстелив пергаментной бумагой.
В миске тщательно перемешайте творог, яйцо, мед, разрыхлитель теста и ванильный экстракт. Если вы используете муку, добавьте её в массу и хорошо перемешайте до однородного состояния.
Выложите творожную массу в подготовленную форму.
Выпекайте в предварительно разогретой духовке около 25-30 минут, пока запеканка не станет золотистой сверху и не схватится внутри.
Дайте запеканке немного остыть перед нарезанием и подачей.",основное,Творог
67,Творожные оладьи,"Творог – 150 г
Яйцо – 1 шт.
Мука (можно использовать овсяную, гречневую или другую безглютеновую) – 2-3 ст. ложки
Разрыхлитель теста – 1/4 ч. ложки
Соль – щепотка
Растительное масло – 1/2 ч. ложки (для смазывания сковороды)","В миске тщательно перемешайте творог и яйцо до получения однородной массы.
Постепенно добавляйте муку и разрыхлитель теста, перемешивая до получения однородного теста. Консистенция должна быть достаточно густой, чтобы тесто не растекалось на сковороде.
Разогрейте сковороду на среднем огне и слегка смажьте её растительным маслом.
Ложкой выкладывайте тесто на сковороду, формируя небольшие оладьи.
Обжаривайте оладьи с обеих сторон до золотистой корочки. Обычно это занимает по 2-3 минуты с каждой стороны.
Готовые оладьи можно подавать горячими или тёплыми. Они хороши сами по себе или с немного медом, натуральным йогуртом или свежими ягодами.",основное,Творог
68,Творожные кексы,"Творог – 100 г
Яйцо – 1 шт.
Мука (овсяная, гречневая или другая безглютеновая) – 2 ст. ложки
Разрыхлитель теста – 1/4 ч. ложки
Мед или кленовый сироп – 1 ч. ложка (по желанию, для сладости)
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Соль – щепотка","Разогрейте духовку до 180°C.
Приготовьте форму для кекса, смазав её небольшим количеством масла или выстелив пергаментной бумагой. Для одной порции можно использовать небольшую силиконовую формочку.
В миске тщательно перемешайте творог и яйцо до получения однородной массы.
Добавьте муку, разрыхлитель теста, мед (или сироп), ванильный экстракт и соль. Хорошо перемешайте все ингредиенты до получения однородного теста.
Вылейте тесто в подготовленную форму для кекса.
Выпекайте в предварительно разогретой духовке около 20-25 минут, или пока кекс не станет золотистым сверху и не пройдет тест на сухую зубочистку (зубочистка должна выйти из середины кекса сухой).
Дайте кексу немного остыть перед извлечением из формы и подачей.",основное,Творог
69,Творожная запеканка с ягодами,"Творог – 150 г
Яйцо – 1 шт.
Мука (овсяная, гречневая или другая безглютеновая) – 1 ст. ложка
Мед или кленовый сироп – 1 ч. ложка (по желанию, для сладости)
Ягоды (малина, черника, клубника и т.д.) – 50 г
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Разрыхлитель теста – 1/4 ч. ложки
Соль – щепотка","Разогрейте духовку до 180°C.
Подготовьте небольшую форму для запеканки (например, керамическую или силиконовую), слегка смазав её растительным маслом.
В миске соедините творог и яйцо, хорошо перемешайте до однородной массы.
Добавьте муку, разрыхлитель теста, мед (или кленовый сироп), ванильный экстракт и соль. Перемешайте до однородного состояния.
Вмешайте ягоды в творожную массу, аккуратно перемешивая, чтобы не повредить ягоды.
Выложите смесь в подготовленную форму.
Выпекайте в разогретой духовке примерно 25-30 минут, или до золотистого цвета и полной готовности (запеканка должна быть плотной и не жидкой).
Дайте запеканке немного остыть перед подачей. Её можно подавать теплой или охлажденной.",основное,Творог
70,Творожные сырники,"Творог – 100 г
Яйцо – 1/2 шт. (можно использовать 1 перепелиное яйцо или взбить куриное яйцо и использовать половину)
Мука (овсяная, гречневая или другая безглютеновая) – 1 ст. ложка + немного для обсыпки
Мед или кленовый сироп – 1 ч. ложка (по желанию, для сладости)
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Соль – щепотка
Растительное масло (кокосовое или оливковое) – для жарки, минимальное количество","В миске смешайте творог, яйцо, муку, мед (или кленовый сироп), ванильный экстракт и соль до однородного состояния.
Если тесто слишком жидкое, можно добавить немного больше муки.
Разделите тесто на 3-4 равные части.
Сформируйте из каждой части небольшие шарики и слегка прижмите их, чтобы получились плоские круги.
Обваляйте каждый сырник в небольшом количестве муки.
Нагрейте сковороду на среднем огне, добавив небольшое количество растительного масла.
Выложите сырники на сковороду и обжаривайте с каждой стороны по 2-3 минуты до золотистого цвета.
При необходимости жарьте на низкой температуре, чтобы сырники хорошо пропеклись внутри.
Подавайте сырники теплыми. Можно дополнить свежими ягодами или небольшим количеством натурального йогурта.",основное,Творог
71,Творожный пудинг,"Творог – 100 г
Яйцо – 1 шт.
Молоко (коровье, миндальное или другое растительное) – 50 мл
Мед или кленовый сироп – 1 ч. ложка (по желанию, для сладости)
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Мука (овсяная, гречневая или другая безглютеновая) – 1 ст. ложка
Щепотка соли","Разогрейте духовку до 180°C.
Подготовьте небольшую форму для запекания, слегка смазав её растительным маслом.
В блендере или с помощью миксера смешайте творог, яйцо, молоко, мед (или кленовый сироп), ванильный экстракт и соль до получения однородной массы.
Добавьте муку и снова тщательно перемешайте.
Вылейте смесь в подготовленную форму для запекания.
Поставьте форму в разогретую духовку и выпекайте 20-25 минут, пока пудинг не поднимется и не станет золотистым.
Дайте пудингу немного остыть перед подачей. Он будет плотным и нежным одновременно.
Подавайте пудинг теплым или охлажденным, можно украсить его свежими ягодами или фруктами.",основное,Творог
72,Творожные маффины,"Творог – 100 г
Яйцо – 1 шт.
Овсяная или гречневая мука – 2 ст. ложки
Молоко (коровье, миндальное или другое растительное) – 2 ст. ложки
Мед или кленовый сироп – 1 ч. ложка (по желанию)
Разрыхлитель – 1/4 ч. ложки
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Соль – щепотка
Ягоды или кусочки фруктов – 1-2 ст. ложки (по желанию)","Разогрейте духовку до 180°C.
Подготовьте формочки для маффинов, слегка смазав их растительным маслом или используя бумажные вкладыши.
В миске смешайте творог, яйцо, молоко, мед (или кленовый сироп), ванильный экстракт и соль до однородного состояния.
Добавьте муку и разрыхлитель, перемешайте до получения гладкого теста.
Если хотите добавить ягоды или фрукты, аккуратно вмешайте их в тесто.
Выложите тесто в подготовленные формочки, заполнив их примерно на 2/3.
Выпекайте в разогретой духовке 20-25 минут, пока маффины не станут золотистыми и не будут пружинить при нажатии.
Проверьте готовность маффинов деревянной палочкой: если она выходит чистой, маффины готовы.
Дайте маффинам немного остыть перед подачей.
Можно подавать маффины как теплыми, так и охлажденными.",основное,Творог
73,Творожная запеканка с фруктами,"Творог – 100 г
Яйцо – 1 шт.
Овсяная или гречневая мука – 1 ст. ложка
Молоко (коровье, миндальное или другое растительное) – 1 ст. ложка
Мед – 1 ч. ложка
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Соль – щепотка
Фрукты (яблоко, груша, персик и т.д.) – 50-70 г, нарезанные кубиками
Разрыхлитель – 1/4 ч. ложки (по желанию)
Корицу или мускатный орех – по вкусу (по желанию)","Разогрейте духовку до 180°C.
Слегка смажьте форму для запекания растительным маслом или используйте пергаментную бумагу.
В миске взбейте яйцо с медом и ванильным экстрактом.
Добавьте творог, молоко, муку, разрыхлитель и соль, хорошо перемешайте до однородной массы.
Вмешайте в тесто нарезанные фрукты и специи, если используете.
Выложите тесто в подготовленную форму, разровняйте поверхность ложкой.
Выпекайте в разогретой духовке 25-30 минут, пока запеканка не станет золотистой и плотной на ощупь.
Проверьте готовность с помощью деревянной палочки: если она выходит чистой, запеканка готова.
Дайте запеканке немного остыть в форме, затем аккуратно извлеките ее.
Подайте запеканку теплой или охлажденной. Можно украсить свежими фруктами или ягодами.",основное,Творог
74,Творожные рулеты,"Творог – 100 г
Яйцо – 1 шт.
Овсяная или гречневая мука – 2 ст. ложки
Молоко (коровье, миндальное или другое растительное) – 2 ст. ложки
Мед или кленовый сироп – 1 ч. ложка (по желанию, для сладости)
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Разрыхлитель – 1/4 ч. ложки
Соль – щепотка
Начинка (по желанию): свежие ягоды, нарезанные фрукты, немного орехов, или без добавок","Разогрейте духовку до 180°C.
Подготовьте небольшую форму для выпекания или застелите противень пергаментной бумагой.
В миске смешайте творог, яйцо, молоко, мед (или кленовый сироп), ванильный экстракт и соль.
Добавьте муку и разрыхлитель, перемешайте до получения однородного теста.
Вылейте тесто на подготовленный противень, распределите его в прямоугольник толщиной около 1 см.
Если используете начинку, равномерно распределите её по поверхности теста.
Аккуратно сверните тесто в рулет, начиная с одного края. Для удобства можно использовать пергаментную бумагу для формирования рулета.
Поставьте рулет в разогретую духовку и выпекайте 20-25 минут, пока он не станет золотистым и плотным.
После выпекания дайте рулету немного остыть, затем нарежьте его на порционные кусочки.
Подавайте рулеты как теплым, так и охлажденным. Можно украсить их свежими ягодами или фруктами, если желаете.",основное,Творог
