РЕКОМЕНДОВАНО,ИЗБЕГАТЬ
"сухарь , ржаной хлеб , овсяный хлеб , хлеб с добавление семя ( например , подсолнечник или лен ) , хлебец из цельный зерно , печение ( овсяный , галетный , из цельный зерно , с добавление семя ( например , подсолнечник или лен ) , орех или фрукт , крекер )","белый хлеб , торт , блин , оладья , жареный пирожок , булочка , пирожное , кекс , пончик , пирог , сдобный тесто , слоеный тесто , фастфуд ."
"крупяной , овощной , молочный , фруктовый , бульон на курица или индейка , щи вегетарианский ( овощ и мука для заправка не пережаривают )","суп на мясной , рыбный , грибной бульон"
"мясо нежирный сорт говядина , телятина , кролик , куриный ( без кожа и жир ) , индейка без кожа в отварный вид или запечь после отваривание , кусок или рубленый","жирный сорт говядина , баранина , свинина , гусь , утка , обработать мясной продукт ( колбаса , сосиска и деликатес ) , копченое или жарить мясо , сало , субпродукт , копченость , консервы"
"различный нежирный сорт рыба ( треска , судак , навага , щука , сазан , серебристый хек , лосось , сардина , морской окунь ) , скумбрия ( употреблять она в умеренный количество 1-2 раз в неделя в запечь или приготовлен на пара ввид ) , краб , креветка , мидия и кальмар в отварный , запечь или паровой вид","жирный сорт рыба ( севрюга , осетрина , белуга , сом , тунец , угорь , скат ) , морской гребешок , устрица , икра черный и красный , мягкий ракообразный ( лангустин , рак ) , обжарить морепродукт , копченость , консервы"
"брокколи ( вареный , приготовить на пара и тушеный предпочтительнее , а сырой употреблять в умеренный количество ) , цветной капуста ( вареный , приготовить на пара , тушеный и запечь цветной капуста предпочтительнее , а сырой употреблять в умеренный количество ) , шпинат ( сырой , вареный , приготовить на пара или тушеный ) , морковь ( употреблять в сыр , вареный , тушеный или запечь вид ) , свекла ( употреблять в сыр , вареный , запечь или тушеный вид ) , кабачок ( употребляться в сыр , вареный , запечь или тушеный вид ) , тыква ( употребляться в вареный , запечь , тушеный вид , а также в вид пюре или сырой семечко ) , сельдерей ( употребляться в сыр , вареный , запечь , тушеный вид , а также в вид сок ) , помидор ( употреблять в свежий вид , добавлять в салат , готовить сок , запекать или тушить ) , огурец ( употреблять в свежий вид , добавлять в салат , готовить сок или тушить ) , белокачанный капуста ( вареный и тушеный капуста предпочтительнее , а квашеный капуста можно употреблять в небольшой количество ) , картофель ( употреблять в вареный , приготовить на пара или печеный ) , зеленый горошек ( употреблять в сыр , вареный , тушеный вид ) , болгарский перец ( употребляться в сыр , вареный , запечь или тушеный вид )","гриб , шпинат , щавель , редис , редька , репа , чеснок , лук зеленый , мариновать овощ , бобовый , горчица , перец , хрен , уксус , пряность , мариновать и соленый продукт ."
"блюдо из мука , крупа , бобовый и макаронный изделие : рассыпчатый полувязкий каша , пудинг , запеканка , особенно рекомендоваться блюдо из овсянка , гречневый каша мука ( цельнозерновый мука , ржаной мука ) , крупа ( овсянка , гречка , киноа , коричневый рис , булгур ) , макаронный изделие ( цельнозерновый макароны , макароны из твердый сорт пшеница ) . способ приготовление крупа и макаронный изделие - варка , запекание .","блюдо из белый мука , жареный макароны и крупа , пшено"
"яйцо всмятку , паровой яйцо , омлет или яичница без масло , белковый омлет .","яйцо сырой , сварить вкрутую , омлет или яичница , жарить на масло или жир ."
"фрукт и ягода ( яблоко и груша ( употреблять в вид отвар , компот или пюре ) , киви ( употреблять в различный форма : свежий , в вид сок , компот или приготовить в десерт ) , банан ( употреблять в различный форма : свежий , в вид сок , добавлять в коктейль , выпечка или приготовить в десерт ) , слив только сладкий сорт ( употреблять в свежий вид , добавлять в коктейль , салат или выпечка , использовать для приготовление компот , варение или сушеный фрукт ) , цитрусовый фрукт ( мандарин , апельсин , лимон , грейпфрут и лайм употреблять в свежий вид , добавлять в салат , сок ) , персик ( употреблять в свежий вид , добавлять в фруктовый салат , смузи или использовать для приготовление десерт ) , арбуз ( употреблять в свежий вид , добавлять в фруктовый салат , использовать для приготовление сок и коктейль ) , манго ( употреблять в свежий вид , добавлять в фруктовый салат , использовать для приготовление сок , коктейль , десерт и соус ) , авокадо ( добавлять в салат , суп , бутерброд , сэндвич , для приготовление различный соус , дип и смузи ) , клубника , земляника и малина ( употреблять в свежий вид , добавлять в салат , йогурт , каша , овсянка или выпечка , для приготовление компот , коктейль , смузи и десерт ) , черника и черешня ( употребляться в свежий вид , добавляться в коктейль , смузи , салат , выпечка и десерт , для приготовление варение , компот и кисель ) , голубика ( употреблять в свежий вид , добавляться в коктейль , смузи , салат , выпечка и десерт , для приготовление варение , джем , компот и соус ) , ананас ( употреблять в свежий вид , добавлять в фруктовый салат , смузи или использовать в приготовление десерт и блюдо )","свежий фрукт ( яблоко , груша ) , виноград ( в свежий вид или в вид сок ) , клюква , красный и черный смородина , вишня , жимолость и другой кислый фрукт и ягода"
"не жирный молоко ( употреблять теплый молоко в не большой количество или добовлять в каша или другой блюдо ) , айран , ацидовилина , варенец , йогурт , катык , кефир , кумыс , простокваша , ряженка , ( употреблять в умеренный количество ( 200-250 мл ( один стакан ) в день ) натуральный , нежирный без добавить сахар и искусственный добавка продукт ) , творог , творожок ( натуральный , нежирный без добавить сахар и искусственный добавка продукт ) ,","отборный молоко , каймак , крем фреш , мацони , мороженое , пахта , сгустить молоко , сливка , сливочный масло , сметана , сузьма , сыворотка , сыр ( острый , жирный сорт ) , тарак , шубат , соус на основа сливка , большой количество масло или сливочный сыр"
"вода ( пить чистый в достаточный количество каждый день ) , зеленный и травяной чай ( пить слабозаварить без сахар или с небольшой количество мед ) , некислый фруктово-ягодный сок ( употреблять в умеренный количество ( 200-250 мл ( один стакан ) в день свежевыжать , разбавить вода ) , морсы из свежий или заморозить сладкий ягода ( пить морс в умеренный количество , разбавлять вода ) , напиток на основа орех и зерно ( соевый молоко , миндальный молоко ) несладкие и без добавка , овощной сок ( морковный , сок из огурец , сок из сельдерей , зеленый сок ( огурец , шпинат и сельдерей ) , отвар ( ромашка , шиповник , мята )","черный чай , мат , пуэр , крепкий кофе , какао , покупной сок , газировать напиток , весь алкогольный напиток , отвар ( зверобой , черед , корень солодка ) , холодный напиток , ледяной напиток и напиток с кубик лед"
"варение ( употреблять в небольшой количество , намазывать на тост или добавлять в йогурт ) , мед ( употреблять в небольшой количество , добавлять он в чай , йогурт или на тост )","шоколад , изделие с крем"
